orig.ident	nCount_RNA	nFeature_RNA	nCount_ADT	nFeature_ADT	celltype
SeuratProject	2937.46900000014	16778	6164	10	CD4+T cell
SeuratProject	2932.3530000002	16778	8626	10	CD4+T cell
SeuratProject	2918.32400000015	16778	3255	10	naïve B cells
SeuratProject	2986.11000000017	16778	11706	10	CD4+T cell
SeuratProject	2865.74000000013	16778	5785	10	CD4+T cell
SeuratProject	2895.91100000012	16778	11402	10	classical monocytes
SeuratProject	3023.05000000024	16778	11785	10	CD4+T cell
SeuratProject	2940.51200000011	16778	11388	10	NK cell
SeuratProject	2915.84500000011	16778	11802	10	NK cell
SeuratProject	3017.08100000012	16778	10290	10	classical monocytes
SeuratProject	2994.80400000018	16778	7029	10	classical monocytes
SeuratProject	3027.36500000016	16778	14850	10	CD8+T cell
SeuratProject	2997.58200000019	16778	11250	10	CD4+T cell
SeuratProject	2901.91400000012	16778	9593	10	CD4+T cell
SeuratProject	2927.04700000018	16778	8514	10	CD4+T cell
SeuratProject	2926.60900000016	16778	11876	10	CD8+T cell
SeuratProject	2959.24400000012	16778	7848	10	CD4+T cell
SeuratProject	3039.25500000023	16778	9993	10	CD8+T cell
SeuratProject	2970.55200000016	16778	13405	10	CD4+T cell
SeuratProject	2973.36200000014	16778	9102	10	CD4+T cell
SeuratProject	2900.91100000011	16778	9081	10	NK cell
SeuratProject	3002.56500000014	16778	8094	10	CD8+T cell
SeuratProject	2847.90800000012	16778	7243	10	CD4+T cell
SeuratProject	2970.47200000011	16778	9203	10	NK cell
SeuratProject	2937.02500000015	16778	11760	10	CD4+T cell
SeuratProject	2842.20200000013	16778	9973	10	CD4+T cell
SeuratProject	2912.4310000001	16778	9163	10	NK cell
SeuratProject	2920.96000000013	16778	10761	10	CD4+T cell
SeuratProject	2916.65300000018	16778	3650	10	classical monocytes
SeuratProject	3039.16800000014	16778	9414	10	NK cell
SeuratProject	3023.08200000011	16778	11020	10	NK cell
SeuratProject	2915.65300000015	16778	9800	10	CD4+T cell
SeuratProject	2990.36000000011	16778	12280	10	NK cell
SeuratProject	2939.79200000018	16778	13292	10	CD4+T cell
SeuratProject	2876.48800000014	16778	5361	10	CD4+T cell
SeuratProject	2882.40700000015	16778	6270	10	classical monocytes
SeuratProject	3025.00100000016	16778	4378	10	CD8+T cell
SeuratProject	2966.84700000017	16778	8910	10	CD4+T cell
SeuratProject	3026.60900000015	16778	13360	10	CD8+T cell
SeuratProject	2979.15000000013	16778	10261	10	CD4+T cell
SeuratProject	2904.99200000011	16778	9846	10	CD8+T cell
SeuratProject	2958.90400000018	16778	5868	10	classical monocytes
SeuratProject	2906.78000000011	16778	11715	10	NK cell
SeuratProject	2967.02600000018	16778	9025	10	CD4+T cell
SeuratProject	2899.29200000011	16778	14392	10	NK cell
SeuratProject	2709.53799999995	16778	13120	10	CD8+T cell
SeuratProject	2882.68700000012	16778	2834	10	naïve B cells
SeuratProject	2906.21300000019	16778	8550	10	CD8+T cell
SeuratProject	2833.80100000011	16778	11234	10	CD4+T cell
SeuratProject	2909.15700000009	16778	8295	10	NK cell
SeuratProject	2985.02600000013	16778	11152	10	NK cell
SeuratProject	2971.86600000016	16778	3400	10	classical monocytes
SeuratProject	2902.30300000014	16778	12710	10	CD4+T cell
SeuratProject	2926.37400000011	16778	13304	10	CD8+T cell
SeuratProject	2921.41800000017	16778	10172	10	CD4+T cell
SeuratProject	3032.77700000017	16778	6112	10	classical monocytes
SeuratProject	2875.01500000013	16778	15780	10	CD8+T cell
SeuratProject	2951.81600000015	16778	8599	10	CD4+T cell
SeuratProject	2976.03700000011	16778	10698	10	CD8+T cell
SeuratProject	3092.52300000023	16778	12056	10	CD4+T cell
SeuratProject	2980.26700000017	16778	8573	10	CD4+T cell
SeuratProject	2916.04000000009	16778	9002	10	NK cell
SeuratProject	3112.9890000002	16778	11466	10	CD4+T cell
SeuratProject	2968.26500000021	16778	14058	10	CD8+T cell
SeuratProject	2975.5780000001	16778	12900	10	NK cell
SeuratProject	2905.46300000017	16778	10491	10	CD4+T cell
SeuratProject	3006.43700000015	16778	8425	10	classical monocytes
SeuratProject	2959.38100000015	16778	11759	10	CD4+T cell
SeuratProject	2935.78300000016	16778	10903	10	CD8+T cell
SeuratProject	2937.78700000013	16778	14554	10	CD8+T cell
SeuratProject	2961.42700000011	16778	14586	10	NK cell
SeuratProject	2975.82700000011	16778	12196	10	NK cell
SeuratProject	2861.58600000013	16778	15961	10	CD8+T cell
SeuratProject	2855.95200000014	16778	10041	10	CD4+T cell
SeuratProject	2928.09900000013	16778	8337	10	CD4+T cell
SeuratProject	2970.5950000002	16778	10597	10	CD4+T cell
SeuratProject	2880.54700000012	16778	5502	10	classical monocytes
SeuratProject	2953.75500000019	16778	12855	10	CD4+T cell
SeuratProject	2952.61800000014	16778	3217	10	naïve B cells
SeuratProject	2921.71700000015	16778	9428	10	CD4+T cell
SeuratProject	3114.06000000022	16778	7604	10	classical monocytes
SeuratProject	2872.7530000001	16778	11525	10	NK cell
SeuratProject	3014.14700000012	16778	9550	10	NK cell
SeuratProject	2841.17100000008	16778	12460	10	CD8+T cell
SeuratProject	2846.14500000016	16778	10819	10	CD4+T cell
SeuratProject	3086.0480000002	16778	8440	10	non-classical monocytes
SeuratProject	2928.33500000019	16778	9612	10	CD4+T cell
SeuratProject	2912.07900000018	16778	9285	10	CD4+T cell
SeuratProject	2924.69100000017	16778	9772	10	CD4+T cell
SeuratProject	2956.52500000015	16778	12786	10	CD8+T cell
SeuratProject	2853.58100000013	16778	9283	10	CD4+T cell
SeuratProject	2957.23500000011	16778	6994	10	NK cell
SeuratProject	3010.75200000011	16778	13323	10	NK cell
SeuratProject	2981.45400000011	16778	12551	10	NK cell
SeuratProject	2818.33800000009	16778	9533	10	CD4+T cell
SeuratProject	2915.9280000001	16778	10563	10	NK cell
SeuratProject	2965.50900000013	16778	6749	10	NK cell
SeuratProject	2896.45100000016	16778	13607	10	CD4+T cell
SeuratProject	2871.95300000014	16778	16287	10	CD8+T cell
SeuratProject	2907.25900000014	16778	9187	10	CD4+T cell
SeuratProject	2953.63500000011	16778	4083	10	classical monocytes
SeuratProject	2982.56600000016	16778	10847	10	CD4+T cell
SeuratProject	2893.12900000017	16778	5900	10	CD4+T cell
SeuratProject	2937.16700000013	16778	15191	10	classical monocytes
SeuratProject	2876.29600000013	16778	2397	10	naïve B cells
SeuratProject	2979.75000000012	16778	8355	10	NK cell
SeuratProject	2950.81600000009	16778	11068	10	NK cell
SeuratProject	2950.7090000001	16778	9705	10	NK cell
SeuratProject	3012.28200000012	16778	10818	10	NK cell
SeuratProject	2947.89900000012	16778	8434	10	CD4+T cell
SeuratProject	2958.56100000012	16778	10301	10	CD8+T cell
SeuratProject	2937.77000000017	16778	6637	10	CD4+T cell
SeuratProject	2932.65100000013	16778	12104	10	CD4+T cell
SeuratProject	2873.29700000009	16778	15373	10	CD8+T cell
SeuratProject	3024.80100000022	16778	6148	10	CD4+T cell
SeuratProject	2877.15500000012	16778	6804	10	classical monocytes
SeuratProject	2808.91100000014	16778	9108	10	CD4+T cell
SeuratProject	3070.58500000012	16778	7839	10	NK cell
SeuratProject	2958.00700000017	16778	6772	10	classical monocytes
SeuratProject	2915.84400000012	16778	3162	10	naïve B cells
SeuratProject	2857.79200000013	16778	9487	10	CD4+T cell
SeuratProject	2983.61500000022	16778	8022	10	classical monocytes
SeuratProject	2975.37000000009	16778	15177	10	NK cell
SeuratProject	2947.56800000013	16778	7421	10	CD4+T cell
SeuratProject	2958.33000000017	16778	5389	10	classical monocytes
SeuratProject	2890.54200000011	16778	8126	10	classical monocytes
SeuratProject	2990.4320000002	16778	10396	10	CD4+T cell
SeuratProject	3040.76800000014	16778	12782	10	NK cell
SeuratProject	2921.76900000008	16778	10480	10	CD8+T cell
SeuratProject	2834.8970000001	16778	7119	10	classical monocytes
SeuratProject	2934.01900000014	16778	13315	10	CD4+T cell
SeuratProject	2805.14700000013	16778	9970	10	CD4+T cell
SeuratProject	2892.82000000015	16778	5918	10	CD4+T cell
SeuratProject	2926.42400000016	16778	10896	10	CD4+T cell
SeuratProject	2854.34500000009	16778	5210	10	NK cell
SeuratProject	2831.71300000015	16778	8023	10	CD4+T cell
SeuratProject	2944.46600000015	16778	9590	10	CD4+T cell
SeuratProject	2878.2030000001	16778	14491	10	NK cell
SeuratProject	2892.42900000012	16778	8962	10	CD4+T cell
SeuratProject	3021.22100000017	16778	6622	10	CD4+T cell
SeuratProject	2859.58800000013	16778	7815	10	CD4+T cell
SeuratProject	2936.19300000012	16778	12186	10	NK cell
SeuratProject	2943.1780000002	16778	10494	10	CD4+T cell
SeuratProject	2827.75900000007	16778	7992	10	NK cell
SeuratProject	2868.6800000001	16778	10070	10	NK cell
SeuratProject	2902.02000000012	16778	12722	10	CD8+T cell
SeuratProject	2899.40200000015	16778	8669	10	CD4+T cell
SeuratProject	2990.11600000019	16778	11574	10	CD4+T cell
SeuratProject	2810.39000000011	16778	10267	10	CD4+T cell
SeuratProject	2875.21000000009	16778	10577	10	CD4+T cell
SeuratProject	3091.83500000016	16778	11297	10	NK cell
SeuratProject	2914.83000000011	16778	11381	10	NK cell
SeuratProject	2887.95700000015	16778	8298	10	CD4+T cell
SeuratProject	2929.4010000001	16778	10408	10	NK cell
SeuratProject	2925.02300000009	16778	5185	10	NK cell
SeuratProject	2618.37400000008	16778	14075	10	CD8+T cell
SeuratProject	2872.17800000011	16778	7940	10	NK cell
SeuratProject	3006.02800000022	16778	10438	10	CD4+T cell
SeuratProject	2954.03800000018	16778	11471	10	CD4+T cell
SeuratProject	3040.71000000007	16778	5992	10	classical monocytes
SeuratProject	3123.69700000015	16778	909	10	classical monocytes
SeuratProject	2953.84700000013	16778	9553	10	CD4+T cell
SeuratProject	2960.42800000018	16778	9430	10	CD4+T cell
SeuratProject	2883.85300000011	16778	10586	10	CD8+T cell
SeuratProject	3062.37300000014	16778	7845	10	NK cell
SeuratProject	3120.62100000022	16778	3815	10	classical monocytes
SeuratProject	2881.45200000011	16778	12742	10	CD8+T cell
SeuratProject	3043.00500000016	16778	10690	10	NK cell
SeuratProject	3016.87700000017	16778	15454	10	CD8+T cell
SeuratProject	2932.38000000019	16778	11479	10	CD4+T cell
SeuratProject	2871.3040000001	16778	3095	10	naïve B cells
SeuratProject	3022.5320000002	16778	6006	10	classical monocytes
SeuratProject	3016.34400000012	16778	10831	10	NK cell
SeuratProject	2928.48000000014	16778	14931	10	CD4+T cell
SeuratProject	2993.71500000014	16778	10029	10	NK cell
SeuratProject	3053.43100000016	16778	8148	10	CD8+T cell
SeuratProject	3020.03600000012	16778	7332	10	CD4+T cell
SeuratProject	2928.95900000016	16778	10195	10	CD4+T cell
SeuratProject	2963.9810000001	16778	11503	10	NK cell
SeuratProject	2932.31300000015	16778	10576	10	CD8+T cell
SeuratProject	2918.41400000017	16778	11980	10	CD4+T cell
SeuratProject	2843.90600000008	16778	9564	10	NK cell
SeuratProject	2963.01900000016	16778	14935	10	CD8+T cell
SeuratProject	3052.20300000021	16778	8823	10	classical monocytes
SeuratProject	2912.65400000013	16778	9556	10	CD4+T cell
SeuratProject	2956.44400000016	16778	8326	10	classical monocytes
SeuratProject	3004.95200000015	16778	7683	10	CD4+T cell
SeuratProject	2884.78800000007	16778	8974	10	NK cell
SeuratProject	2970.34400000015	16778	13626	10	non-classical monocytes
SeuratProject	2937.94700000018	16778	8637	10	CD4+T cell
SeuratProject	2852.40000000011	16778	10725	10	CD8+T cell
SeuratProject	2941.10500000017	16778	11744	10	CD4+T cell
SeuratProject	2901.37200000009	16778	3716	10	NK cell
SeuratProject	2874.77100000014	16778	8582	10	CD4+T cell
SeuratProject	3013.54700000016	16778	10989	10	classical monocytes
SeuratProject	2909.44400000012	16778	9587	10	CD4+T cell
SeuratProject	2976.23000000022	16778	16262	10	CD8+T cell
SeuratProject	2923.54100000012	16778	7701	10	CD4+T cell
SeuratProject	2778.26000000011	16778	9580	10	CD4+T cell
SeuratProject	2973.0010000001	16778	12109	10	NK cell
SeuratProject	2954.74400000018	16778	12016	10	CD8+T cell
SeuratProject	3000.8010000001	16778	14138	10	NK cell
SeuratProject	2908.07200000015	16778	13830	10	CD8+T cell
SeuratProject	2845.78900000015	16778	5538	10	CD4+T cell
SeuratProject	3009.58200000024	16778	11636	10	classical monocytes
SeuratProject	2921.59400000011	16778	9805	10	NK cell
SeuratProject	2771.96500000005	16778	9610	10	CD4+T cell
SeuratProject	2962.35700000018	16778	9444	10	CD4+T cell
SeuratProject	2836.24500000012	16778	3558	10	naïve B cells
SeuratProject	2961.76700000013	16778	9686	10	NK cell
SeuratProject	3192.58900000023	16778	11386	10	CD8+T cell
SeuratProject	2998.69700000015	16778	11796	10	CD8+T cell
SeuratProject	2808.14300000011	16778	10374	10	CD8+T cell
SeuratProject	3042.4010000001	16778	11602	10	NK cell
SeuratProject	2851.24000000011	16778	8226	10	CD4+T cell
SeuratProject	2940.90600000017	16778	7565	10	classical monocytes
SeuratProject	3029.85600000016	16778	11698	10	CD4+T cell
SeuratProject	3034.97500000022	16778	11485	10	CD4+T cell
SeuratProject	2808.83400000009	16778	10857	10	NK cell
SeuratProject	2819.5500000001	16778	10942	10	CD4+T cell
SeuratProject	3085.02100000016	16778	10067	10	CD4+T cell
SeuratProject	2833.96800000015	16778	10650	10	CD4+T cell
SeuratProject	3025.74900000019	16778	7020	10	classical monocytes
SeuratProject	2961.97100000017	16778	7254	10	CD4+T cell
SeuratProject	2903.7180000001	16778	9860	10	NK cell
SeuratProject	2971.6060000001	16778	7694	10	NK cell
SeuratProject	2905.4220000001	16778	16206	10	NK cell
SeuratProject	2908.40500000017	16778	23037	10	NK cell
SeuratProject	2952.91000000014	16778	12633	10	CD8+T cell
SeuratProject	2944.63400000017	16778	8218	10	CD4+T cell
SeuratProject	3060.34900000018	16778	5701	10	classical monocytes
SeuratProject	3087.33600000014	16778	11196	10	NK cell
SeuratProject	2981.85400000016	16778	13883	10	CD8+T cell
SeuratProject	2959.48800000016	16778	12598	10	CD4+T cell
SeuratProject	2941.61600000018	16778	11400	10	CD4+T cell
SeuratProject	2887.76200000018	16778	11981	10	CD4+T cell
SeuratProject	2905.58000000014	16778	15444	10	CD8+T cell
SeuratProject	2889.33100000017	16778	8608	10	CD4+T cell
SeuratProject	2914.01700000013	16778	8614	10	CD4+T cell
SeuratProject	3034.40900000015	16778	7555	10	CD4+T cell
SeuratProject	2973.87100000012	16778	7512	10	NK cell
SeuratProject	2784.1680000001	16778	9740	10	CD4+T cell
SeuratProject	3012.42800000017	16778	6100	10	CD8+T cell
SeuratProject	2949.39600000013	16778	8006	10	CD4+T cell
SeuratProject	2962.39100000011	16778	8308	10	NK cell
SeuratProject	2951.82200000016	16778	11177	10	CD4+T cell
SeuratProject	2928.83500000014	16778	8576	10	CD4+T cell
SeuratProject	2873.71700000011	16778	7132	10	CD4+T cell
SeuratProject	2930.93200000017	16778	13224	10	CD4+T cell
SeuratProject	2844.88100000014	16778	12054	10	CD8+T cell
SeuratProject	2941.75900000009	16778	5697	10	classical monocytes
SeuratProject	3030.57100000017	16778	8726	10	classical monocytes
SeuratProject	2919.35800000017	16778	14185	10	CD8+T cell
SeuratProject	3057.97600000027	16778	5973	10	classical monocytes
SeuratProject	2783.75000000013	16778	6232	10	CD4+T cell
SeuratProject	2880.82000000007	16778	12554	10	NK cell
SeuratProject	3019.85700000013	16778	11639	10	NK cell
SeuratProject	2926.51300000018	16778	11030	10	CD4+T cell
SeuratProject	2928.67900000016	16778	7737	10	CD4+T cell
SeuratProject	2938.31100000015	16778	10366	10	CD4+T cell
SeuratProject	2946.85200000015	16778	7933	10	CD4+T cell
SeuratProject	2972.50300000014	16778	9813	10	CD8+T cell
SeuratProject	2894.21300000014	16778	7997	10	CD4+T cell
SeuratProject	2992.90600000015	16778	9213	10	classical monocytes
SeuratProject	2917.52100000016	16778	9537	10	CD8+T cell
SeuratProject	2999.62600000017	16778	9838	10	CD4+T cell
SeuratProject	3001.45900000012	16778	10561	10	NK cell
SeuratProject	2825.55200000011	16778	11719	10	CD4+T cell
SeuratProject	2817.77600000007	16778	7892	10	CD4+T cell
SeuratProject	2757.58900000013	16778	7794	10	CD4+T cell
SeuratProject	2883.01500000012	16778	5494	10	naïve B cells
SeuratProject	2991.21100000019	16778	9111	10	CD4+T cell
SeuratProject	2858.49800000013	16778	13673	10	CD8+T cell
SeuratProject	2927.73400000019	16778	9580	10	CD4+T cell
SeuratProject	3083.41600000016	16778	5107	10	NK cell
SeuratProject	2996.34000000019	16778	8912	10	CD4+T cell
SeuratProject	2901.61100000017	16778	8597	10	CD4+T cell
SeuratProject	2915.18100000014	16778	7796	10	classical monocytes
SeuratProject	2999.10100000023	16778	8488	10	CD4+T cell
SeuratProject	2858.27900000012	16778	14725	10	CD8+T cell
SeuratProject	2930.17700000016	16778	14050	10	CD8+T cell
SeuratProject	2878.66100000011	16778	12239	10	CD8+T cell
SeuratProject	2981.05300000011	16778	7667	10	NK cell
SeuratProject	2879.25100000012	16778	10827	10	CD4+T cell
SeuratProject	2972.89500000011	16778	8037	10	NK cell
SeuratProject	2937.6220000001	16778	7685	10	NK cell
SeuratProject	2966.08200000018	16778	9081	10	CD4+T cell
SeuratProject	2969.49500000015	16778	21929	10	CD8+T cell
SeuratProject	2902.2180000001	16778	11326	10	CD8+T cell
SeuratProject	3009.07100000013	16778	12057	10	CD8+T cell
SeuratProject	2911.22400000014	16778	7895	10	CD4+T cell
SeuratProject	2972.26200000014	16778	9809	10	CD4+T cell
SeuratProject	3031.42000000014	16778	6185	10	classical monocytes
SeuratProject	2885.39900000011	16778	6555	10	CD4+T cell
SeuratProject	2859.90500000012	16778	14457	10	CD8+T cell
SeuratProject	2981.00400000012	16778	10013	10	CD8+T cell
SeuratProject	2757.1640000001	16778	10045	10	CD4+T cell
SeuratProject	2979.21000000012	16778	8528	10	NK cell
SeuratProject	2983.35900000021	16778	17188	10	CD4+T cell
SeuratProject	2876.30200000009	16778	13992	10	NK cell
SeuratProject	2833.83000000011	16778	10389	10	CD8+T cell
SeuratProject	3045.03200000019	16778	10575	10	CD4+T cell
SeuratProject	2590.36599999998	16778	7741	10	CD4+T cell
SeuratProject	2940.16000000013	16778	6754	10	CD4+T cell
SeuratProject	2932.88300000014	16778	10483	10	CD4+T cell
SeuratProject	3065.66100000012	16778	20597	10	classical monocytes
SeuratProject	3007.58900000017	16778	13774	10	CD8+T cell
SeuratProject	2847.54000000014	16778	7898	10	CD4+T cell
SeuratProject	2868.85300000013	16778	4017	10	classical monocytes
SeuratProject	2944.07800000018	16778	7206	10	CD4+T cell
SeuratProject	2914.9630000002	16778	8117	10	CD4+T cell
SeuratProject	2848.81600000013	16778	10206	10	CD4+T cell
SeuratProject	2828.43100000009	16778	3936	10	naïve B cells
SeuratProject	3004.40400000014	16778	3580	10	classical monocytes
SeuratProject	3037.25500000016	16778	9893	10	CD8+T cell
SeuratProject	2839.69600000013	16778	8625	10	CD4+T cell
SeuratProject	2876.24600000013	16778	11833	10	CD4+T cell
SeuratProject	3083.15900000013	16778	13035	10	NK cell
SeuratProject	2958.70700000015	16778	13594	10	classical monocytes
SeuratProject	2914.44500000012	16778	9789	10	NK cell
SeuratProject	2929.30300000014	16778	8127	10	classical monocytes
SeuratProject	2649.22200000001	16778	9239	10	CD4+T cell
SeuratProject	2983.81600000012	16778	7736	10	NK cell
SeuratProject	2935.96100000015	16778	9484	10	CD8+T cell
SeuratProject	2966.64500000013	16778	9626	10	CD4+T cell
SeuratProject	3012.27700000014	16778	8692	10	NK cell
SeuratProject	3157.66200000019	16778	11314	10	CD8+T cell
SeuratProject	2910.38200000011	16778	11577	10	NK cell
SeuratProject	2969.75400000018	16778	9033	10	CD4+T cell
SeuratProject	2866.31200000012	16778	9244	10	CD4+T cell
SeuratProject	2914.1200000001	16778	10409	10	NK cell
SeuratProject	2948.08100000017	16778	16533	10	CD8+T cell
SeuratProject	2853.4860000001	16778	6010	10	NK cell
SeuratProject	2949.01700000011	16778	13596	10	NK cell
SeuratProject	3104.48500000023	16778	12983	10	CD4+T cell
SeuratProject	2979.76200000012	16778	7371	10	CD8+T cell
SeuratProject	2967.57500000014	16778	11355	10	CD8+T cell
SeuratProject	3017.75200000017	16778	11610	10	CD8+T cell
SeuratProject	2969.34000000013	16778	10601	10	NK cell
SeuratProject	3044.51100000013	16778	5299	10	NK cell
SeuratProject	2877.94600000013	16778	11442	10	CD4+T cell
SeuratProject	3045.86000000016	16778	9689	10	CD4+T cell
SeuratProject	2942.84600000012	16778	7790	10	CD8+T cell
SeuratProject	2858.48800000017	16778	14016	10	CD8+T cell
SeuratProject	2969.15300000016	16778	13287	10	CD4+T cell
SeuratProject	2931.48600000016	16778	13677	10	CD8+T cell
SeuratProject	2946.77000000016	16778	18472	10	CD4+T cell
SeuratProject	3001.01400000013	16778	9175	10	NK cell
SeuratProject	2929.49200000014	16778	7886	10	CD4+T cell
SeuratProject	2824.95300000013	16778	8831	10	CD4+T cell
SeuratProject	2930.22500000014	16778	11840	10	CD8+T cell
SeuratProject	2910.09900000015	16778	9661	10	CD4+T cell
SeuratProject	2905.46200000016	16778	6716	10	CD4+T cell
SeuratProject	2877.66500000011	16778	8501	10	CD4+T cell
SeuratProject	2928.06200000016	16778	10622	10	CD4+T cell
SeuratProject	2977.52000000016	16778	7162	10	CD4+T cell
SeuratProject	2843.66400000016	16778	10377	10	CD4+T cell
SeuratProject	2867.18900000016	16778	11162	10	CD4+T cell
SeuratProject	3032.47700000026	16778	4865	10	classical monocytes
SeuratProject	2977.01800000014	16778	1820	10	naïve B cells
SeuratProject	2964.62600000014	16778	6685	10	classical monocytes
SeuratProject	3083.81800000014	16778	8034	10	NK cell
SeuratProject	2849.49000000012	16778	13662	10	CD8+T cell
SeuratProject	3023.97600000017	16778	7939	10	CD4+T cell
SeuratProject	2958.40100000014	16778	11261	10	CD4+T cell
SeuratProject	2934.88200000017	16778	6979	10	CD4+T cell
SeuratProject	2888.27600000013	16778	10891	10	CD4+T cell
SeuratProject	2951.99600000015	16778	7263	10	CD4+T cell
SeuratProject	2881.4460000001	16778	7746	10	NK cell
SeuratProject	3112.43900000019	16778	9209	10	CD4+T cell
SeuratProject	2869.8460000001	16778	2830	10	naïve B cells
SeuratProject	3026.67500000017	16778	3626	10	classical monocytes
SeuratProject	2945.75600000013	16778	9095	10	NK cell
SeuratProject	2986.86200000018	16778	5416	10	naïve B cells
SeuratProject	2822.91800000012	16778	10933	10	CD4+T cell
SeuratProject	2989.51000000013	16778	7315	10	NK cell
SeuratProject	2987.7700000001	16778	6718	10	classical monocytes
SeuratProject	2971.51400000018	16778	8644	10	CD8+T cell
SeuratProject	2922.66400000018	16778	3932	10	classical monocytes
SeuratProject	2934.43200000015	16778	10181	10	CD4+T cell
SeuratProject	2888.28400000014	16778	11677	10	CD8+T cell
SeuratProject	2983.88200000015	16778	9280	10	classical monocytes
SeuratProject	2985.28100000015	16778	9269	10	CD4+T cell
SeuratProject	2950.45900000019	16778	7837	10	CD4+T cell
SeuratProject	2917.4690000001	16778	10121	10	NK cell
SeuratProject	2928.77800000013	16778	10666	10	CD4+T cell
SeuratProject	3058.62300000015	16778	10525	10	NK cell
SeuratProject	2940.42700000016	16778	7437	10	CD4+T cell
SeuratProject	3071.3490000002	16778	5894	10	classical monocytes
SeuratProject	2968.08800000012	16778	10882	10	NK cell
SeuratProject	2885.42700000015	16778	7882	10	CD4+T cell
SeuratProject	2989.44600000011	16778	16906	10	NK cell
SeuratProject	2930.11800000011	16778	9965	10	CD4+T cell
SeuratProject	2943.11900000022	16778	14048	10	CD4+T cell
SeuratProject	2983.12300000012	16778	10379	10	NK cell
SeuratProject	2910.37200000014	16778	8578	10	CD4+T cell
SeuratProject	2837.87300000008	16778	2630	10	NK cell
SeuratProject	2922.66000000009	16778	2983	10	NK cell
SeuratProject	2938.38200000018	16778	8750	10	CD4+T cell
SeuratProject	2844.60000000014	16778	9606	10	CD4+T cell
SeuratProject	2933.90200000014	16778	7161	10	classical monocytes
SeuratProject	2994.48900000014	16778	3732	10	CD8+T cell
SeuratProject	2920.8150000001	16778	11045	10	NK cell
SeuratProject	3065.88600000022	16778	11593	10	classical monocytes
SeuratProject	2895.73400000017	16778	7295	10	CD4+T cell
SeuratProject	3070.42600000018	16778	14395	10	CD8+T cell
SeuratProject	3085.62100000021	16778	9454	10	CD4+T cell
SeuratProject	2877.60700000014	16778	12765	10	CD8+T cell
SeuratProject	2916.28200000017	16778	10636	10	CD4+T cell
SeuratProject	2997.75100000013	16778	10653	10	classical monocytes
SeuratProject	2960.56000000019	16778	12660	10	CD4+T cell
SeuratProject	2886.05300000017	16778	12513	10	CD8+T cell
SeuratProject	2870.08800000014	16778	7865	10	CD4+T cell
SeuratProject	3086.67000000019	16778	12156	10	CD4+T cell
SeuratProject	2927.92800000014	16778	8144	10	CD4+T cell
SeuratProject	2961.17000000012	16778	8355	10	NK cell
SeuratProject	2898.94300000017	16778	9214	10	CD4+T cell
SeuratProject	2953.71000000013	16778	9304	10	CD4+T cell
SeuratProject	2873.4200000001	16778	4422	10	classical monocytes
SeuratProject	2875.16300000012	16778	14229	10	CD8+T cell
SeuratProject	3013.74600000013	16778	7054	10	classical monocytes
SeuratProject	2916.68100000013	16778	11484	10	CD4+T cell
SeuratProject	2935.38500000012	16778	12356	10	NK cell
SeuratProject	3028.25800000022	16778	7455	10	classical monocytes
SeuratProject	2931.25700000016	16778	10967	10	CD4+T cell
SeuratProject	2962.84500000016	16778	6347	10	classical monocytes
