anti-human-CD154-totalC anti-human-CD4-totalC anti-human-CD56-totalC anti-human-CD3-totalC anti-human-CD19-totalC anti-human-CD14-totalC anti-human-CD11c-totalC anti-human-CD8-totalC anti-human-CD16-totalC anti-human-CD127-totalC
SIGLEC7 0 0 0 -0.254947856152865 0 0 0 0 0 0
CD33 0 0 0.0210319416536228 0 0 0.0811018174414415 0 0 0.0693275350174175 0
NCR1 0 -0.148454405672562 0 -0.0629789713755636 0 0 0 0 0 0
NCR3 0 -0.0652533297423102 0.0350918097216099 -0.0189459470576991 0 0 0 0 0 0
CR1 0 -0.282611572955232 0 -0.117267358404136 0 0 0 0 -0.51119009054647 0
CD36 0 0 0.0269283118904451 0 0 0.0709230334291791 0 0 0.027960079811737 0
HAVCR2 0 0 0 0 0 0 0 0 0 0
CD38 0 0 0 -0.00747307584131619 0.0711622954192686 0 0 0 0.0155215633837266 0
ENTPD1 0 -0.426851586193392 0 -0.083812212694077 0.247056087335131 0 0 0 0 0
ITGA2B 0 0 0 0 0 0 0 0 0 0
PTPRC 0 0 0 0 0 0 0 0 0 0
CD47 0 0 0 0 0 -0.00575971057025248 0 0 0.0199761808324904 0
ITGA2 0 0 0 0 0 0 0 0 0 0
ITGA4 0 -0.135151998702872 -0.0106340269050316 -0.0773061804020207 -0.0129210682172331 -0.0377974609191616 0 0 -0.349877720686428 -0.00271445328433649
ITGA6 0 0 0 0.15921445104983 0 0 0 0 0 0
CD5 0 0 -0.00128537095369557 0 0 0 0 0 0 0
CD52 0 0 0 -0.00695125106404412 0 0 0 0 -0.0122922866268293 0
ICAM1 0 0.0247502394674248 0 0 0 0.116953748666682 0 0 0.283490184925592 0
B3GAT1 0 0 0 0 0 0 0 0 0 0
SELL 0 0.00272952949488259 0.0010996094785401 0.0147784264336865 0 0 0 0 0.00984028281543311 0
SELP 0 0 0 0 0 0 0 0 0.0943786883244792 0
FCGR1A 0 0.167058269201598 0.00829796365027716 0 0 0.200533755938738 0 0 0.34003429422998 0
CD69 0 0 0 0 -0.000620488047860716 0 0 0 0 0
CD7 0 0 0.00683212992567587 0 0 0 0 0 0.010769248249097 0
TFRC 0 -0.124769859376379 -0.00206821662743019 0 0 0 0 0 -0.333471948924319 0
NT5E 0 -1.39057122743274 0 0 2.93530687367342 0 0 0 -2.87372604205221 0
KLRD1 0 -0.00177886375400017 0.0141641829313017 0 0 0 0 0 0.0119745426544046 0
FAS 0 0.317310079297305 0 0 0 0 0 0 0 0
CD96 0 -0.0624241030440876 0 0 -0.10187093906609 0 0 0 0 0
CLEC12A 0 0 0 0 0 0 0 0 0.173221026698284 0
HLA-DRA 0 0 0 0 0.000284549737880453 0 0 0 -0.00324191048102207 0
IGHD 0 0 0 0 0 0 0 0 0 0
IGHM 0 0 0 0 0 0 0 0 0 0
KLRG1 0 -0.0133597627713451 0.0173278092551894 0 0 0 0 0.00166556183956701 0 0
TRDV2 0 -0.00228886371508517 0 0.00726511694973657 0 0 0 0 0 0
TRAC 0 0 0 0 0 0 0 0 0.164008444852908 0
TIGIT 0 -0.0659949147377275 0 0 0 0 0 0 -0.105546706288191 0
CCR7 0 0.154728945111332 0 0.186104890680947 0 0 0 0 0.193372157680042 0
CXCR3 0 -0.0589621879715331 0 -0.0325693787352475 0 0 0 0.0434066708291834 -0.0426895213667368 0
CXCR5 0 0 0 0 0.570156865282212 0 0 0 0.304817956401268 0
CD24 0 -0.00828841825960337 0 0 0 0 0 0 0 0
SDC1 0 0 0 0 0.710689607786205 0 0 0 0 0
THBD 0 -0.0113832407784822 0 0 0 0 0 0 0 0
FCGR2B 0 0 0 0 0.209309163093854 0 0 0 0.522330864888072 0
TRBC1 0 -0.0114104693034272 0 -0.00225104424445361 0 0 0 0 0 0
TRBC2 0 0 0 0 0 0 0 0 0 0
CD3D 0 0.0533803076536216 0 0.0760457650324367 0 0 0 0 0.0266920343764542 0
CD3G 0 0 0 0 0 0 0 0 0 0
CD8B 0 -0.0887666517674738 0 0.00439199350924769 0 0 0 0.14989653153283 0.000409460571449078 0
FCER1A 0 0 0 0 0 -0.00223044929536885 0 0 0 0
FCER1G 0 0 0 0 0 0 0 0 0.0185799925095571 0
VEGFA 0 0 0 0 0 0.00261583832432344 0 0 -0.185643149964231 0
VEGFB 0 0 0 0 0 0 0 0 4.6220369553528 0
CD40LG 0 0.750185199987236 0 0.2359592212743 0 0 0 0 0.252441373778182 0
