anti-human-CD3-totalC anti-human-CD45-totalC anti-human-CD4-totalC anti-human-CD20-totalC anti-human-CD33-totalC anti-human-CD123-totalC anti-human-CD14-totalC anti-human-IgM-totalC anti-human-HLA-DR-totalC anti-human-CD7-totalC
CD47 0 0 0 0 -0.27990275720053 0 0 0 0 -0.0883406125420341
ITGA2 0 0 0 0 0 0 0 0 4.08587985209687 0
ITGA4 -0.111186036513835 0 -0.15187632440953 -0.0224882200953417 -0.107823589358708 0 -0.0578650471169746 0 0 -0.266151639720799
ITGA6 0.113681800390703 0 0 0 -0.0551416055342548 0 0.0300043408834251 0 -0.161547065954956 0
CD5 0 0 0 0 -0.0910059124740291 0 0 0 -0.16649817892488 0
CD52 -0.00793858170187019 0 3.53867950046084e-05 0 -0.00767004334192562 0 -0.00126926387414335 0 0 -0.0110456650982919
ICAM1 0 0 0.0365462087950377 0 0.340835113688523 0.00245764625412201 0.125649818576608 0 0.302546291821651 0.045556462944083
B3GAT1 0 0 0 0 0 0 0 0 0 0
SELL 0.0187608562488223 0 0.0100612702417116 0 -0.0295022472433478 0 -0.00538935786996517 0 -0.030321952594823 0.0405453775357788
SELP 0 0 0 0 0 0 0 0 0 0
FCGR1A 0 0 0.194561563092722 0.0171458771296359 0.667451662341095 0.0145475697987814 0.225835967136711 0 0.49172206431631 0
CD69 0 0 0 0 0 0 -0.000238705745744175 0 -0.00176536375332959 -0.000109241100083218
CD7 0.00019582993203537 0 0 0 0 0 0 0 -0.0105890206818777 0.232350776377198
TFRC -0.0308369766149188 0 -0.16718508380521 0 -0.0632441590772647 0 -0.0174137070926561 0 -0.0352740985862125 -0.12433499578988
NT5E 0 0 -1.54938390025049 1.10931902307475 -1.17639144070041 0 -0.128477514331488 0 0.458134567919269 0
KLRD1 0 0 -0.00605778588352263 0 0 0 0.000316318533000396 0 0 0.0072854475816976
FAS 0 0 0.413176076343485 0 0.222802769950905 0 0 0 0.0552084905369595 0
CD96 -0.0312099775919794 0 -0.155713389041665 -0.0452315147871491 -0.0563355023051994 0 0 0 -0.0180072024328003 -0.128724521613754
CLEC12A 0 0 0 0 0.0348064652348912 0 0 0 -0.18391118779589 0
HLA-DRA 0 0 -0.000107694310786326 0 -0.00218081791514832 0 -0.000805269045374816 0 0.0206742208015693 0
IGHD 0 0 0 0 0 0 0 0 0 0
IGHM 0 0 0 0 -0.00122100476568689 0 0 0 0 0
KLRG1 0 0 -0.0122401858166086 0 0 0 0 0 0.0100059548351943 -0.00923297615123919
TRDV2 0.0232741141227326 0 -0.0153226838663023 0 0 0 0 0 0.0252834951790989 0.002574371598817
TRAC 0 0 0.0188647280021371 0 0 0 0 0 0 0.0396703043635291
TIGIT 0 0 -0.11436325209838 0 0 0 0 0 0.0801744988301272 -0.0260793263251359
CCR7 0.176829405195248 0 0.143154754592916 0 0 0 0.00898120738516257 0 0 0.219596317565917
CXCR3 -0.0596441611592521 0 -0.0723471485191419 0 0 0 -0.0124511726184136 0 0.0592116889602357 -0.0528168607433493
CXCR5 0 0 0 0.382142954524014 0 0 0 0 0.46324796506159 0
CD24 0 0 -0.0304395378025432 0 0 0 0 0.0336056797563133 0 -0.0345325828244167
SDC1 0 0 -0.116296237335472 0 -0.844474960227022 0 0 0 0.278792379112529 -0.594873823384636
THBD -0.0032135038363617 0 -0.0254817792348525 0 -0.00545660538817424 0 0 0 -0.0721932684000607 -0.00636143250674658
FCGR2B 0 0 0 0.15172177886937 0 0 0 0 0.0741061326680711 0
TRBC1 -0.0099520555410664 0 -0.0183809680529387 0 0 0 0 0 0 -0.0143579020633737
TRBC2 0 0 0 0 0 0 0 0 0 0
CD3D 0.074870175555931 0 0.0684542753366727 0 0 0 0 0 0 0.0344552764817882
CD3G 0 0 0 0 0 0 0 0 0 -0.0316330319466052
CD8B 0.00453413747257972 0 -0.0965986658616787 0 0.00638703583742099 0 0.00164516721573488 0 0.0055394085041398 0.0382098203657695
FCER1A 0 0 -0.00492515193300778 0 -0.0193858940646286 0 -0.0219567511100906 0 -0.0213886304868133 0
FCER1G 0 0 0.00259339985649745 0 0.0229441603787405 0.00475141565987699 0.0029604541257907 0 0.0217595792392993 0
VEGFA 0 0 0 0 -0.0788208969851381 0 0.00842620371391154 0 0.128966538195058 -0.0259992908510958
VEGFB 0 0 0.619146551924059 0 1.34372159247956 0.258746742826686 0.290153530577523 0 0 0
