CD154 CD4 CD56 CD3 CD19 CD14 CD11c CD8 CD16 CD127
CD52 0 0 -0.00741444718437009 0 0 0 0 0 -0.0300890487301494 0
ICAM1 1.05676224906114 0 0 0 0 3.44990776916354 2.04534497483827 0 0 0
B3GAT1 0 0 0 0 0 0 0 0 0 0
SELL 0 0 0 0 0 0 0 -0.0160784177699623 0 0
SELP 0 0 0 0 0 0 0 0 0 -9.92868479089954
FCGR1A 0 0 0 0 0 0.819462942696501 0 0 0 0
CD69 0 0 0 0 0 0 0 0 0 0
CD7 0 0 0.0945178521845371 0 0 0 0 0 0.094526222744145 -0.00794133138974445
TFRC 0 0 0 0 0 0 0 0 0 0
NT5E 0 0 0 0 0 0 0 0 0 0
KLRD1 0 -0.12225549917352 0.242448092466813 0 0 0 0 0 0.173790523575475 -0.0645088960986853
FAS 0 0 0 0 0 0 0 0 0 0
CD96 0 0 0 0 0 0 0 0 0 0
CLEC12A 0.164049853152955 0 0 0 0 1.01345502019461 0.678183227724701 0 0 0
HLA-DRA 0 0 0 0 0 0 0 0 -0.00667715687428178 -0.0121092043458534
IGHD 0 0 0 0 0.119812168970467 0 0 0 0 0
IGHM 0 -0.0311771600753572 0 -0.00200650014924988 0.0234074495863502 0 0 0 0 -4.53153146099727e-05
KLRG1 0 0 0 0 0 0 0 0 0 0
TRDV2 0 0 0 0 0 0 0 0 0 0
TRAC 0 0.04703919248678 -0.00949041424949734 0.0779009587658235 0 0 0 0 -0.0156544088586814 0
TIGIT 0 -0.320932303017275 0.104014874524158 0 0 0 0 0.333290532565095 0 -0.298466208127803
CCR7 0 0.451398511659797 0 0.621591447570924 0 0 0 0 0 0
CXCR3 0 0 0 0 0 0 0 0 0 0
CXCR5 0 0 0 0 0 0 0 0 0 0
CD24 0 0 0 0 0.052730708207123 0 0 -0.215622988794087 0 0
SDC1 0 0 0 0 0 0 0 0 0 0
THBD 0 0 0 0 0 0 0 0 0 0
FCGR2B 0 -0.75641438981867 0 -2.09242247810985 0.71768431625697 0 0 0 0 -0.62376306180599
TRBC1 0 0 0 0 0 0 0 0 0 0
TRBC2 0 0.0218755382044423 0 0.0127138256783545 0 0 0 0 -0.00415562557886235 0
CD3D 0 0 -0.129162404397417 0.153371931117021 0 0 0 0 -0.124079541735764 0
CD3G 0 0.341786728109046 -0.315303808412841 0.639443125624929 0 0 0 0 -0.327343076239912 0
CD8B 0 -0.50836602126965 -0.048137913905919 0 0 0 0 0.790123013956958 0 0
FCER1A 0 0 0 0 0 0 0 0 0 0
FCER1G 0 0 0 0 0 0 0.0634678867074752 0 0 0
VEGFA 0 0 0 0 0 0 0 0 0 0
VEGFB 0 0 0 0 0 0 0 0 0 0
