anti-human-CD155-totalC anti-human-CD112-totalC anti-human-CD47-totalC anti-human-CD52-totalC anti-human-CD3-totalC anti-human-CD8-totalC anti-human-CD56-totalC anti-human-CD19-totalC anti-human-CD33-totalC anti-human-CD11c-totalC anti-human-HLA-totalC anti-human-CD45RA-totalC anti-human-CD123-totalC anti-human-CD7-totalC anti-human-mouse-CD49f-totalC anti-human-CD194-totalC anti-human-CD4-totalC anti-human-CD14-totalC anti-human-CD16-totalC anti-human-CD25-totalC anti-human-CD45RO-totalC anti-human-CD279-totalC anti-human-TIGIT-totalC anti-human-CD20-totalC anti-human-CD335-totalC anti-human-CD31-totalC anti-human-IgM-totalC anti-human-CD5-totalC anti-human-CD183-totalC anti-human-CD32-totalC anti-human-CD196-totalC anti-human-CD185-totalC anti-human-CD69-totalC anti-human-CD62L-totalC anti-human-CD197-totalC anti-human-KLRG1-totalC anti-human-CD27-totalC anti-human-CD95-totalC anti-human-HLA-DR-totalC anti-human-CD1c-totalC anti-human-CD64-totalC anti-human-CD141-totalC anti-human-CD314-totalC anti-human-CD66b-totalC anti-human-CD35-totalC anti-human-CD57-totalC anti-human-CD366-totalC anti-human-mouse-rat-CD278-totalC anti-human-CD96-totalC anti-human-CD39-totalC anti-human-CD24-totalC anti-human-CD21-totalC anti-human-CD11a-totalC anti-human-CD244-totalC anti-human-CD235ab-totalC anti-human-CD169-totalC anti-human-CD268-totalC anti-human-CD54-totalC anti-human-CD62P-totalC anti-human-TCRAB-totalC anti-human-FCERI-totalC anti-human-CD41-totalC anti-human-CD163-totalC anti-human-CD2-totalC anti-human-CD226-totalC anti-human-CD29-totalC anti-human-CD49b-totalC anti-human-IgD-totalC anti-human-CD18-totalC anti-human-CD38-totalC anti-human-CD127-totalC anti-human-CD15-totalC anti-human-CD22-totalC anti-human-CD71-totalC anti-human-CD193-totalC anti-human-CD36-totalC anti-human-CD49d-totalC anti-human-CD73-totalC anti-human-TCR-Vd2-totalC anti-human-CD305-totalC anti-human-CD158b-totalC anti-human-CD158e1-totalC anti-human-CD337-totalC anti-human-CD138-totalC anti-human-CLEC12A-totalC anti-human-CD94-totalC anti-human-Ig-light-chain-totalC anti-human-Ig-light-chain--totalC anti-human-CD328-totalC
CD1C 0 0 0 0 0 0 0 0 0.0683155347399151 0 0 0 0 0 -0.0356078518024953 0 0 0 0 0 0 0 0 0 0 -0.0147950804642487 0 0.0346873417412834 0 0 0 0 0 0 0 0 0 0 0 0.120127095600444 -0.0214124735720756 0 0 0 -0.0648595670701248 0 0 0 0 0.00370877454728001 0 0 0 -0.000217867749295393 0 0 0 0 -0.0462533961979463 0 0 -0.0859477799961726 0 0.0517442398152506 -0.00423113739131817 0 0 0 0 0 0 0 0 0 0 -0.0485540355387738 0 0 0 -0.0587744689610451 0 0 0 0 0 0 -0.00429597179295678 0 0
CD2 0 0 0 0 0 0 7.92240180601404e-05 0 0 0 0 0 0 0 0 0 0 0 0.01306112511731 0 0 0.0408241860081931 0 0 0 0 0 0.0198892305129538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320668650131153 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.116274428236377 0.0230065234149118 0.00728939603147611 0 0 0.00062464497962215 0 0 0 0 0 0 0 0.0219076091409082 0 0 0 0 0 0.015191395870678 0 0 0 0 0 0
MS4A1 0 0 0 0 0 0 0 0.0171110289741706 -0.00749937352286121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0423247102296294 0 -0.00150561985827085 0.00638723714535933 -8.21296652234767e-05 0 0 0 0 0 0 0 0 0 0 0 0 -0.00242095235957875 0 0 0 0 0 0 0 0 0 0 0 -0.00993167002789319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00453792866205737 0 0 0 0 -0.0047636913335342 0 0 0 0 0 0 0 0 0.000348030000220244 0.00743303522685021 0
CR2 0 0 0 0 -0.736466933637829 0 0 0 0 0 0 1.15488829243672 0 0 -1.27552392996361 0 -0.0943614347613907 0 0.281722108171103 0 0 0 0 0 0 0 0.614273839724972 0 0 2.79348204879748 0 0 0 0 0 0 0 0 0 0 0 0 0 0.836392971481899 5.57854633734706 0 0 0 0 0 0 1.37377676470344 -3.29577792957904 0 0 0 0 0 0 0 0 0 0 -0.896569037656337 0 -0.321273839620511 0 1.16646586180629 0 0 0 0 0 0 0 0 0.0925234702306428 2.83537190221383 0 3.50390952211472 0 0 0 0 0 0 0 4.222596065062 0
CD22 0 0 -0.0442453305303989 -0.158107515200839 -0.142684357925936 0 0 -0.237769960774681 -0.00914970900895359 0 -0.403061532607867 -0.6949246261481 0 -0.190851453533137 0 0 -0.257162292542208 0 -0.131320441141655 0 0 -0.136973394226553 0 0 0 -0.0386300286224816 0.107062848930084 -0.49502135033544 0 0 0 0 0 -0.0206314131130753 0 -0.0161625815710971 -0.246833375881648 -0.0633489051369175 -0.0712602781205751 0 -0.0273242822481666 0 0 0 0 0 0 0 -0.0766422952994213 -0.111165835370189 -0.191065801626648 0 -0.356857442551897 -0.0724623354927772 0 0 0 -0.384587723420266 0 -0.159115298670817 0 0 0 -0.156623394645529 -0.165277479961117 -0.571007386582642 0 0.31159226756928 -0.080898700288325 0 0 0 0.0653489102730449 0 0 0 -0.31163158819163 0 0 1.86837105687829e-05 0 0 -0.151947096015319 0 -0.0809864571025173 -0.0515326697947557 0.444304427411371 0.0571775795586479 -0.103317684339053
CD226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0738800865083536 0 0.918883745809978 0 0 0.112991927087824 0 0 0 0 0 0.129172375276852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0737005065343701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.307984951520352 0.340355316106379 0 0 0 0 0 0 0 0 0 0 0 -0.0521633707092964 0 0 0 0 0 0.237392274863105 0 0 0 -0.121324962743941 0 0
GYPA 0 0 0 0 0 0 0 0 0.132800230406708 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00758864293068193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.217233433869461 0 0 0 0 0 0 0 0 0 0 0 0 0
CD244 0 0 0 0 0 0 0.0316081731451795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.490830150240945 0 0 0 0.0145362120546018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0752253326877589 0 0 0.0825337645432751 0 0 0.0808619552304854 0 0 0 0 0.149172884660254 0 0 0.14513955043311 0 0 0 0 0 0 0 0 0
IL2RA 0 0 0 0 -0.00601339902971357 0 0 0 0 0 0 -0.00665099615944351 0 0 0 0.112304260171308 -0.0632351435469218 0 0 0.131601960109669 0 -0.0240722795636732 0 0 0 0 0 -0.101711818570267 0 0 0 0 0 0.00597714996152318 0 0 0 0.0314788788533065 0 0 0 0 0 -0.0045369496443859 0 -0.0414136141205983 0 0 0 0.0138863469542713 0 0 -0.0253993318829851 -0.00622678293072171 0 0 0 -0.00217542950457318 0 0 0 0 0 -0.0407746119181384 -0.0327605060267764 -0.0571885114457727 0 0 -0.0483555576518554 0 0 0 0 0 0 0 -0.107743941870786 0 0 -0.0175555479842898 0 0 0 0 0 0 0 0 -0.00331051337561624
TNFRSF13C 0 0 0 0 -0.106592949529153 0 0 0.889179197842741 -0.00738464113739837 0 0 0.383711338232495 0 -0.18569588883497 -0.28453152513283 0 -0.234909913628142 0 0 0 0 0 0 0.103741545903697 0 0.0309052290944763 0 0 0 0.932875896552244 0 0 0 0 0 0 0 -0.00169579728969004 0 0 -0.000877186684034324 0 0 0.0720525998209735 0.0406574076779641 0 0 0 0 0.0445745004106137 0.148938023635673 0.162716210744132 -0.353415147121719 -0.100548154592654 0 0 0 0 0 0 0 -0.11316623123729 0 -0.243936481402467 0 -0.0145760344099754 0 0 -0.0315864087564849 0 0 0 0.0300441455792987 0 0 -0.00958365233975462 0 0 0 0 0 0 0 0 -0.16736478001071 0 0 0 0
CD27 0 0 0 0.000295725633198577 0.0170026473060254 0 0 0 -0.053113039984155 0 0 0.0618068241845104 0 0.061793823192824 -0.00712493942469952 0 0 0 0 0 0 0 0 0 0 0 0 0.00729675797227792 0 0 0 0 0 0.0795322020397893 0 0 0.253663852522048 0.0128097075182771 0 0 0 0 0 -0.027868799629925 -0.0574494594924233 0 0 0.0390174322704831 0 0.0326107530668781 0 0 -0.0328376382167005 -0.028412551458936 0 0 0 0.00580004718109671 0 0 0 0 0 -0.016538930737306 -0.00912612561640747 0 0 0 0 0.0591054136776741 0 0 0 0.0605928162098631 0 -0.00578482107051705 0.00256757949538774 0 0 -0.0223588902711844 0 0 0 0 -0.108554129236773 0 0 0 -0.0212349180504184
ICOS 0 0 0.0461487919946332 0.1187713052621 0 0 0 0 0 0 0 -0.234125300926317 0 0 0 0 0.455394249392601 0 0 0 0 0.180984291116327 0 0 0 0 0 0.0811849792920153 0 0 0 0 0 0 0 0 0.185010001968432 0 0 0 0 0 0 0 0 0 0 0.589875167835577 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.192724493992689 0 0 0 0 0 0 0 0 0 0 0 0 0.121982140039728 0 0 0 0 0 0.00234139036970154 0 0 0 -0.0166877316726987 0 0
PDCD1 0 0 0.0675713842862051 0 0 0 -0.0647556230447186 0 0.353439872103403 0 0.378920901248734 0 0 0 0 0 0 0 0.687188782668474 0 0 0.995201372558036 0 0 0 0.127353882955709 0 -0.0505151159890279 0 0.000430220019300049 0 0 0 0 0 0 0 0.021067458094794 0.00016223631132699 0 0 0 0 0.220470498930456 0.024453098517981 0 0 0 0 0.0858574913406344 0.0305009240788084 0 0 0 0 0 0 0.265778031207289 0 0 0 0 0 0.214618845548092 0 0 0 0 0.160026260165672 0 0 0 0 0 0 0 0.0566665351545557 0 0 0 0 0 0.0597068840160194 0 0.0216020338978992 0 -0.0430711276717554 0 0
ITGB1 0 0 0 0 -0.0138213728684613 0 0 0 0.0246316358536554 0 0.0117829971680352 0 0 -0.0758223920181011 0 0 0 0 0.0787310157308405 0 0 0.00190288185452634 0 0 0 0 0 0 0 0.0298912839348141 0 0 0 0.00273979564914885 0 0 -0.00883695035149708 0.0100637196283943 0.00541544339799816 0 0.00526976384508522 0 0 0.109591376891523 0.104243057339527 0.00769535501271437 0 0 0 0.00975953091512856 0.0176627270947769 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0259427546798122 0.0715453754598311 0 0 0.0242382745234599 0 0 0.0112716598025082 0 0 0 0.00725805293021301 0 0 0 0 0 0 0.0131764160357697 0 0.0299220195707541 0 0.00840954597288993 0 0
CD3E 0 0 0 0.000973564437494546 0.0422557544590667 0.00487012458536644 0 0 -0.00463181921958283 0 0 0 0 0.0569102532201497 0 0 0.035264676712474 0 0 0 0 0 0 0 0 0 0 0.0535283168101203 0 0 0 0 0 0 0 0 0.00294437605793721 0 0 0 0 0 0 0 -0.0145723913288685 0 0 0 0 0 0 -0.000190291715171278 0 0 0 0 0 0 0 0.0143377972463361 0 0 0 0.0583474019200875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0242223002466804 0 0 -0.00121120509637015 -0.0141785158952011
LAIR1 0.055200342671115 0 0.15039258102369 0.154524301141125 0 0 0.0865527948116879 0 0.695714382578055 0 0.654804806538525 0.0917457325799432 0 0 0 0 0.359611797605973 0.113419014490609 0.751781914339819 0 0 0.217423973815363 0 0 0 0.378925063580423 0 0.147134012615921 0 0.483875842990852 0 0 0 0 0 0 0 0.184262535133685 0.70945875391054 0 0.496655508860752 0 0.180924793860016 0.400851490252495 0.262799705630514 0 0.0383029051884362 0 0 0.192007585657042 0.12243169975513 0 0 0 0 0.0319842405150594 0 0.477666371602212 0 0 0 0 0 0 0.0361052211405182 0.359856710899418 0 0 0.414563349488332 0.285059577301451 0 0.0310227102002743 0 0 0 0.244040272751074 0.33762077351587 0 0 0.881300925312065 0 0.0984499826824495 0.466629082671449 0 0.10237640611313 0 0.128520151236045 0.00195617833082107 0.0685558884385925
PECAM1 0 0 0 0 0 0 0 0 0.191799431002846 0 0 0 0.0244675398788707 0 0 0 0 0 0.202714056337585 0 0 0 0 0 0 0.407060658127201 0 -0.0268446426326188 0 0 0 0 0 0 0 0 0 0.000142039026783151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0524634389827413 0 0 0 0.00399255003025306 0 -0.0181622510453828 0 0 0 0 0.0796171269525759 0 0 0 0 0 0 0 0 0 0 0.022765114631954 0 0 0 0 0 0 0 0 0
